relative_path,bytes,sha256,role,git_policy
data/虚拟与真实拨弄实验/单臂拨弄木棍/observation.images.front/episode_000019.mp4,10777956,B6D9283660D6CDD9FB87A217DCB22775AEC764D7C8D4CA4ECA57340A19D0D786,paired-real-front-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄木棍/observation.images.wrist/episode_000019.mp4,3243862,4C2F4B87AE1593797BB5384B02F3420BB4F62200FD17F147BC00D20276157EA3,paired-real-wrist-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄水壶/observation.images.front/episode_000014.mp4,7135158,FE7B128DD693FBC10592D093B17FC29403AC704D6EF927B06F628FB1C27DB4DE,paired-real-front-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄水壶/observation.images.front/episode_000015.mp4,7416369,208E0A435EA3D573BACBA2044AFAB538C201927DFB7A95E69D76A9611D69EB1C,paired-real-front-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄水壶/observation.images.wrist/episode_000014.mp4,3341014,7A28FCA08DD645A9DD74EFAFD52532C8AA839F5FE1CB51008AC6B3E59EE4C9BD,paired-real-wrist-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄水壶/observation.images.wrist/episode_000015.mp4,3522765,2FF751CC2A32C2EE5C305CCCB33425E22E748261C8C80549BAA0407B4477F7C4,paired-real-wrist-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄玉米/observation.images.front/episode_000011.mp4,22885822,93D28A07E06AE9D46CF2310040384F14E0D6F54D6BA2EA6F418FBF745EA301B9,paired-real-front-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄玉米/observation.images.wrist/episode_000011.mp4,6951954,67B588F50DE5923C7BEA4BFE4557B106AD69E3F10F9D873C73EB25B04BE0E649,paired-real-wrist-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄锅/observation.images.front/episode_000016.mp4,19728320,347138D3C46264A28097A04C520B22BC07CC913494E38EE5CA45F7792568E69E,paired-real-front-video,external package only
data/虚拟与真实拨弄实验/单臂拨弄锅/observation.images.wrist/episode_000016.mp4,7772396,E7CE51C11D2364B9AAE7A13707CC0EF716E9524889C71A01634EA1A0CD0ED79D,paired-real-wrist-video,external package only
results/desk/desk.mp4,13545392,89ACAE933712CB3AE6C88D8024B7EBE09B029CB9C051638A0C467795EA5582C7,qualitative-original-video,external package only
results/fallAstr/AstrSim/AstrSim.mp4,5142242,1700DA2EC4DEEF2340FB26C61CB40C000CD6A7E9C5AE236DCEAD8FC3300E6E7D,qualitative-original-video,external package only
results/fallAstr/fallAstr.mp4,1817293,60351B9848A949AA4FD97DE39269AACBE85876921E1547B2C049B265EE145EB1,qualitative-original-video,external package only
results/fallBox/boxsim/boxsim.mp4,4292558,CCE00E556336581A534999A5C3F4DF0914A2AF5560A03E450A7EAA76173FB755,qualitative-original-video,external package only
results/fallBox/DSC_6922.JPG,7011103,5E0DF1087A62C5D8DC8082ABEF2EDB30A47AD2AEC1AC61DA64A7B87F7B1274BD,qualitative-real-still,external package only
results/fallBox/fallBox.mp4,6225115,8E67B71E8B4FE4C45F5B45F1429ED451C6DF6D686418E04E5696DB8427CBFD40,qualitative-original-video,external package only
results/fallCattle/CattleSim/CattleSim.mp4,11371436,45603922F115C1AACFD62B48E9D0BCD5E0ADF30193F8CD205F8CA56926E9FB57,qualitative-original-video,external package only
results/fallCattle/fallCattle.mp4,1592100,6E0371963C176743F9EE55BE7C8F193CC3BAA0DCC2D7DD5B07161AC4C6362EDC,qualitative-original-video,external package only
